Technique_ID,Technique_Name,Sector,Count_Unique_Sources,Sample_Sources
T1003,OS Credential Dumping,Transportation/Logistics,4,Leviathan(intrusion-set); Poseidon Group(intrusion-set); Axiom(intrusion-set); APT28(intrusion-set)
T1003.001,LSASS Memory,Education,4,Kimsuky(intrusion-set); APT41(intrusion-set); HAFNIUM(intrusion-set); Earth Lusca(intrusion-set)
T1003.001,LSASS Memory,Energy/Utilities,12,2016 Ukraine Electric Power Attack(campaign); Operation Wocao(campaign); MuddyWater(intrusion-set); Sandworm Team(intrusion-set); OilRig(intrusion-set)
T1003.001,LSASS Memory,Finance,16,Cutting Edge(campaign); Operation Wocao(campaign); Indrik Spider(intrusion-set); GALLIUM(intrusion-set); APT41(intrusion-set)
T1003.001,LSASS Memory,Government/Public,31,Cutting Edge(campaign); HomeLand Justice(campaign); Operation Wocao(campaign); GALLIUM(intrusion-set); APT3(intrusion-set)
T1003.001,LSASS Memory,Healthcare,10,APT41(intrusion-set); FIN6(intrusion-set); APT39(intrusion-set); Leviathan(intrusion-set); Fox Kitten(intrusion-set)
T1003.001,LSASS Memory,Manufacturing/Industrial,10,Cutting Edge(campaign); Kimsuky(intrusion-set); OilRig(intrusion-set); Aquatic Panda(intrusion-set); Leviathan(intrusion-set)
T1003.001,LSASS Memory,Retail/Consumer,18,HomeLand Justice(campaign); Operation Wocao(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set); FIN6(intrusion-set)
T1003.001,LSASS Memory,Technology/IT,8,Cutting Edge(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set); Aquatic Panda(intrusion-set); BRONZE BUTLER(intrusion-set)
T1003.001,LSASS Memory,Telecom,10,Cutting Edge(campaign); GALLIUM(intrusion-set); APT41(intrusion-set); MuddyWater(intrusion-set); APT39(intrusion-set)
T1003.001,LSASS Memory,Transportation/Logistics,9,Operation Wocao(campaign); Kimsuky(intrusion-set); APT41(intrusion-set); Leviathan(intrusion-set); Agrius(intrusion-set)
T1003.002,Security Account Manager,Education,3,APT41(intrusion-set); menuPass(intrusion-set); APT29(intrusion-set)
T1003.002,Security Account Manager,Energy/Utilities,4,Night Dragon(campaign); menuPass(intrusion-set); Ke3chang(intrusion-set); Threat Group-3390(intrusion-set)
T1003.002,Security Account Manager,Finance,6,Night Dragon(campaign); GALLIUM(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set); Wizard Spider(intrusion-set)
T1003.002,Security Account Manager,Government/Public,14,FrostyGoop Incident(campaign); C0017(campaign); GALLIUM(intrusion-set); Dragonfly(intrusion-set); menuPass(intrusion-set)
T1003.002,Security Account Manager,Healthcare,4,APT41(intrusion-set); menuPass(intrusion-set); Wizard Spider(intrusion-set); FIN13(intrusion-set)
T1003.002,Security Account Manager,Manufacturing/Industrial,8,Operation CuckooBees(campaign); Night Dragon(campaign); Dragonfly(intrusion-set); menuPass(intrusion-set); APT29(intrusion-set)
T1003.002,Security Account Manager,Retail/Consumer,9,APT41(intrusion-set); APT29(intrusion-set); Wizard Spider(intrusion-set); FIN13(intrusion-set); Remsec(malware)
T1003.002,Security Account Manager,Technology/IT,5,Operation CuckooBees(campaign); APT41(intrusion-set); menuPass(intrusion-set); Threat Group-3390(intrusion-set); IceApple(malware)
T1003.002,Security Account Manager,Telecom,5,GALLIUM(intrusion-set); APT41(intrusion-set); Ember Bear(intrusion-set); APT5(intrusion-set); Daggerfly(intrusion-set)
T1003.002,Security Account Manager,Transportation/Logistics,7,APT41(intrusion-set); menuPass(intrusion-set); APT29(intrusion-set); Agrius(intrusion-set); HOPLIGHT(malware)
T1003.003,NTDS,Education,4,APT41(intrusion-set); menuPass(intrusion-set); HAFNIUM(intrusion-set); LAPSUS$(intrusion-set)
T1003.003,NTDS,Energy/Utilities,6,menuPass(intrusion-set); Sandworm Team(intrusion-set); Ke3chang(intrusion-set); Fox Kitten(intrusion-set); LAPSUS$(intrusion-set)
T1003.003,NTDS,Finance,7,Cutting Edge(campaign); APT41(intrusion-set); menuPass(intrusion-set); FIN6(intrusion-set); Scattered Spider(intrusion-set)
T1003.003,NTDS,Government/Public,10,Cutting Edge(campaign); Dragonfly(intrusion-set); menuPass(intrusion-set); HAFNIUM(intrusion-set); Sandworm Team(intrusion-set)
T1003.003,NTDS,Healthcare,8,APT41(intrusion-set); menuPass(intrusion-set); FIN6(intrusion-set); Scattered Spider(intrusion-set); Fox Kitten(intrusion-set)
T1003.003,NTDS,Manufacturing/Industrial,7,Cutting Edge(campaign); Dragonfly(intrusion-set); menuPass(intrusion-set); Scattered Spider(intrusion-set); Fox Kitten(intrusion-set)
T1003.003,NTDS,Retail/Consumer,8,Volt Typhoon(intrusion-set); APT41(intrusion-set); FIN6(intrusion-set); Scattered Spider(intrusion-set); Wizard Spider(intrusion-set)
T1003.003,NTDS,Technology/IT,7,Cutting Edge(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set); Scattered Spider(intrusion-set)
T1003.003,NTDS,Telecom,4,Cutting Edge(campaign); APT41(intrusion-set); Scattered Spider(intrusion-set); LAPSUS$(intrusion-set)
T1003.003,NTDS,Transportation/Logistics,4,APT41(intrusion-set); menuPass(intrusion-set); Chimera(intrusion-set); APT28(intrusion-set)
T1003.004,LSA Secrets,Education,2,menuPass(intrusion-set); APT29(intrusion-set)
T1003.004,LSA Secrets,Energy/Utilities,6,menuPass(intrusion-set); MuddyWater(intrusion-set); OilRig(intrusion-set); Ke3chang(intrusion-set); Threat Group-3390(intrusion-set)
T1003.004,LSA Secrets,Finance,2,menuPass(intrusion-set); OilRig(intrusion-set)
T1003.004,LSA Secrets,Government/Public,10,Dragonfly(intrusion-set); menuPass(intrusion-set); MuddyWater(intrusion-set); Leafminer(intrusion-set); OilRig(intrusion-set)
T1003.004,LSA Secrets,Healthcare,1,menuPass(intrusion-set)
T1003.004,LSA Secrets,Manufacturing/Industrial,5,Dragonfly(intrusion-set); menuPass(intrusion-set); OilRig(intrusion-set); APT29(intrusion-set); Threat Group-3390(intrusion-set)
T1003.004,LSA Secrets,Retail/Consumer,5,APT29(intrusion-set); IceApple(malware); LaZagne(tool); CrackMapExec(tool); Pupy(tool)
T1003.004,LSA Secrets,Technology/IT,3,menuPass(intrusion-set); Threat Group-3390(intrusion-set); IceApple(malware)
T1003.004,LSA Secrets,Telecom,3,MuddyWater(intrusion-set); OilRig(intrusion-set); Ember Bear(intrusion-set)
T1003.004,LSA Secrets,Transportation/Logistics,2,menuPass(intrusion-set); APT29(intrusion-set)
T1003.005,Cached Domain Credentials,Energy/Utilities,3,MuddyWater(intrusion-set); OilRig(intrusion-set); APT33(intrusion-set)
T1003.005,Cached Domain Credentials,Finance,1,OilRig(intrusion-set)
T1003.005,Cached Domain Credentials,Government/Public,3,MuddyWater(intrusion-set); Leafminer(intrusion-set); OilRig(intrusion-set)
T1003.005,Cached Domain Credentials,Manufacturing/Industrial,1,OilRig(intrusion-set)
T1003.005,Cached Domain Credentials,Retail/Consumer,2,LaZagne(tool); Pupy(tool)
T1003.005,Cached Domain Credentials,Telecom,2,MuddyWater(intrusion-set); OilRig(intrusion-set)
T1003.006,DCSync,Education,2,Earth Lusca(intrusion-set); LAPSUS$(intrusion-set)
T1003.006,DCSync,Energy/Utilities,2,Operation Wocao(campaign); LAPSUS$(intrusion-set)
T1003.006,DCSync,Finance,3,Operation Wocao(campaign); C0027(campaign); Earth Lusca(intrusion-set)
T1003.006,DCSync,Government/Public,4,SolarWinds Compromise(campaign); Operation Wocao(campaign); Earth Lusca(intrusion-set); LAPSUS$(intrusion-set)
T1003.006,DCSync,Healthcare,1,LAPSUS$(intrusion-set)
T1003.006,DCSync,Manufacturing/Industrial,2,SolarWinds Compromise(campaign); LAPSUS$(intrusion-set)
T1003.006,DCSync,Retail/Consumer,1,Operation Wocao(campaign)
T1003.006,DCSync,Technology/IT,2,SolarWinds Compromise(campaign); LAPSUS$(intrusion-set)
T1003.006,DCSync,Telecom,4,SolarWinds Compromise(campaign); C0027(campaign); Earth Lusca(intrusion-set); LAPSUS$(intrusion-set)
T1003.006,DCSync,Transportation/Logistics,2,SolarWinds Compromise(campaign); Operation Wocao(campaign)
T1003.007,Proc Filesystem,Government/Public,1,PACEMAKER(malware)
T1003.007,Proc Filesystem,Manufacturing/Industrial,1,PACEMAKER(malware)
T1003.007,Proc Filesystem,Retail/Consumer,1,LaZagne(tool)
T1003.008,/etc/passwd and /etc/shadow,Education,1,ShadowRay(campaign)
T1003.008,/etc/passwd and /etc/shadow,Healthcare,1,ShadowRay(campaign)
T1003.008,/etc/passwd and /etc/shadow,Retail/Consumer,2,ShadowRay(campaign); LaZagne(tool)
T1003.008,/etc/passwd and /etc/shadow,Telecom,1,ShadowRay(campaign)
T1005,Data from Local System,Education,9,Kimsuky(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set); HAFNIUM(intrusion-set); Turla(intrusion-set)
T1005,Data from Local System,Energy/Utilities,17,Night Dragon(campaign); Operation Wocao(campaign); menuPass(intrusion-set); FIN7(intrusion-set); Sandworm Team(intrusion-set)
T1005,Data from Local System,Finance,30,Cutting Edge(campaign); Night Dragon(campaign); Operation Wocao(campaign); CostaRicto(campaign); APT38(intrusion-set)
T1005,Data from Local System,Government/Public,55,Operation Dream Job(campaign); Cutting Edge(campaign); SolarWinds Compromise(campaign); Operation Wocao(campaign); C0017(campaign)
T1005,Data from Local System,Healthcare,12,APT41(intrusion-set); menuPass(intrusion-set); FIN6(intrusion-set); FIN7(intrusion-set); APT39(intrusion-set)
T1005,Data from Local System,Manufacturing/Industrial,26,Cutting Edge(campaign); SolarWinds Compromise(campaign); Operation CuckooBees(campaign); Night Dragon(campaign); Kimsuky(intrusion-set)
T1005,Data from Local System,Retail/Consumer,23,Operation Wocao(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set); FIN6(intrusion-set); FIN7(intrusion-set)
T1005,Data from Local System,Technology/IT,13,Cutting Edge(campaign); SolarWinds Compromise(campaign); Operation CuckooBees(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set)
T1005,Data from Local System,Telecom,11,Cutting Edge(campaign); SolarWinds Compromise(campaign); GALLIUM(intrusion-set); APT41(intrusion-set); APT39(intrusion-set)
T1005,Data from Local System,Transportation/Logistics,22,SolarWinds Compromise(campaign); Operation Wocao(campaign); APT38(intrusion-set); Kimsuky(intrusion-set); APT41(intrusion-set)
T1006,Direct Volume Access,Energy/Utilities,1,esentutl(tool)
T1006,Direct Volume Access,Finance,1,Scattered Spider(intrusion-set)
T1006,Direct Volume Access,Healthcare,1,Scattered Spider(intrusion-set)
T1006,Direct Volume Access,Manufacturing/Industrial,1,Scattered Spider(intrusion-set)
T1006,Direct Volume Access,Retail/Consumer,2,Volt Typhoon(intrusion-set); Scattered Spider(intrusion-set)
T1006,Direct Volume Access,Technology/IT,2,Volt Typhoon(intrusion-set); Scattered Spider(intrusion-set)
T1006,Direct Volume Access,Telecom,1,Scattered Spider(intrusion-set)
T1007,System Service Discovery,Education,4,Kimsuky(intrusion-set); Turla(intrusion-set); Earth Lusca(intrusion-set); RATANKBA(malware)
T1007,System Service Discovery,Energy/Utilities,9,Operation Wocao(campaign); OilRig(intrusion-set); Ke3chang(intrusion-set); GreyEnergy(malware); REvil(malware)
T1007,System Service Discovery,Finance,13,Operation Wocao(campaign); Indrik Spider(intrusion-set); admin@338(intrusion-set); OilRig(intrusion-set); Earth Lusca(intrusion-set)
T1007,System Service Discovery,Government/Public,13,Operation Wocao(campaign); Kimsuky(intrusion-set); OilRig(intrusion-set); Aquatic Panda(intrusion-set); Ke3chang(intrusion-set)
T1007,System Service Discovery,Healthcare,2,Turla(intrusion-set); BitPaymer(malware)
T1007,System Service Discovery,Manufacturing/Industrial,8,Operation CuckooBees(campaign); Kimsuky(intrusion-set); OilRig(intrusion-set); Aquatic Panda(intrusion-set); BRONZE BUTLER(intrusion-set)
T1007,System Service Discovery,Retail/Consumer,12,Operation Wocao(campaign); Volt Typhoon(intrusion-set); Poseidon Group(intrusion-set); TrickBot(malware); InvisiMole(malware)
T1007,System Service Discovery,Technology/IT,6,Operation CuckooBees(campaign); Volt Typhoon(intrusion-set); Aquatic Panda(intrusion-set); BRONZE BUTLER(intrusion-set); Cuba(malware)
T1007,System Service Discovery,Telecom,5,OilRig(intrusion-set); Aquatic Panda(intrusion-set); Earth Lusca(intrusion-set); RATANKBA(malware); Tasklist(tool)
T1007,System Service Discovery,Transportation/Logistics,7,Operation Wocao(campaign); Kimsuky(intrusion-set); Poseidon Group(intrusion-set); Chimera(intrusion-set); Cuba(malware)
T1008,Fallback Channels,Education,1,APT41(intrusion-set)
T1008,Fallback Channels,Energy/Utilities,8,Night Dragon(campaign); FIN7(intrusion-set); OilRig(intrusion-set); RDAT(malware); BlackEnergy(malware)
T1008,Fallback Channels,Finance,7,Night Dragon(campaign); APT41(intrusion-set); FIN7(intrusion-set); OilRig(intrusion-set); TrickBot(malware)
T1008,Fallback Channels,Government/Public,4,OilRig(intrusion-set); AppleSeed(malware); HOPLIGHT(malware); ShimRat(malware)
T1008,Fallback Channels,Healthcare,3,APT41(intrusion-set); FIN7(intrusion-set); Bazar(malware)
T1008,Fallback Channels,Manufacturing/Industrial,7,Night Dragon(campaign); OilRig(intrusion-set); Stuxnet(malware); TAINTEDSCRIBE(malware); Uroburos(malware)
T1008,Fallback Channels,Retail/Consumer,6,APT41(intrusion-set); FIN7(intrusion-set); TrickBot(malware); Bumblebee(malware); InvisiMole(malware)
T1008,Fallback Channels,Technology/IT,1,APT41(intrusion-set)
T1008,Fallback Channels,Telecom,3,APT41(intrusion-set); OilRig(intrusion-set); RDAT(malware)
T1008,Fallback Channels,Transportation/Logistics,10,APT41(intrusion-set); FIN7(intrusion-set); Lazarus Group(intrusion-set); Stuxnet(malware); HOPLIGHT(malware)
T1010,Application Window Discovery,Energy/Utilities,1,HEXANE(intrusion-set)
T1010,Application Window Discovery,Finance,3,Metamorfo(malware); Grandoreiro(malware); QakBot(malware)
T1010,Application Window Discovery,Government/Public,3,Flagpro(malware); HotCroissant(malware); SILENTTRINITY(tool)
T1010,Application Window Discovery,Manufacturing/Industrial,1,NightClub(malware)
T1010,Application Window Discovery,Retail/Consumer,3,Volt Typhoon(intrusion-set); InvisiMole(malware); SILENTTRINITY(tool)
T1010,Application Window Discovery,Technology/IT,1,Volt Typhoon(intrusion-set)
T1010,Application Window Discovery,Telecom,1,HEXANE(intrusion-set)
T1010,Application Window Discovery,Transportation/Logistics,3,Lazarus Group(intrusion-set); Grandoreiro(malware); PLEAD(malware)
T1012,Query Registry,Education,5,Kimsuky(intrusion-set); APT41(intrusion-set); Turla(intrusion-set); Proxysvc(malware); RATANKBA(malware)
T1012,Query Registry,Energy/Utilities,9,Operation Wocao(campaign); OilRig(intrusion-set); Fox Kitten(intrusion-set); Threat Group-3390(intrusion-set); Rising Sun(malware)
T1012,Query Registry,Finance,14,Operation Wocao(campaign); Indrik Spider(intrusion-set); APT41(intrusion-set); OilRig(intrusion-set); Bumblebee(malware)
T1012,Query Registry,Government/Public,23,Operation Wocao(campaign); Kimsuky(intrusion-set); Dragonfly(intrusion-set); APT32(intrusion-set); ZIRCONIUM(intrusion-set)
T1012,Query Registry,Healthcare,6,APT41(intrusion-set); APT39(intrusion-set); Turla(intrusion-set); Fox Kitten(intrusion-set); Bazar(malware)
T1012,Query Registry,Manufacturing/Industrial,20,Kimsuky(intrusion-set); Dragonfly(intrusion-set); OilRig(intrusion-set); Fox Kitten(intrusion-set); Daggerfly(intrusion-set)
T1012,Query Registry,Retail/Consumer,9,Operation Wocao(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set); Bumblebee(malware); InvisiMole(malware)
T1012,Query Registry,Technology/IT,6,Volt Typhoon(intrusion-set); APT41(intrusion-set); Fox Kitten(intrusion-set); Threat Group-3390(intrusion-set); WastedLocker(malware)
T1012,Query Registry,Telecom,5,APT41(intrusion-set); APT39(intrusion-set); OilRig(intrusion-set); Daggerfly(intrusion-set); RATANKBA(malware)
T1012,Query Registry,Transportation/Logistics,12,Operation Wocao(campaign); Kimsuky(intrusion-set); APT41(intrusion-set); Chimera(intrusion-set); Lazarus Group(intrusion-set)
T1014,Rootkit,Education,1,APT41(intrusion-set)
T1014,Rootkit,Finance,2,APT41(intrusion-set); Ebury(malware)
T1014,Rootkit,Government/Public,3,ArcaneDoor(campaign); APT28(intrusion-set); COATHANGER(malware)
T1014,Rootkit,Healthcare,1,APT41(intrusion-set)
T1014,Rootkit,Manufacturing/Industrial,2,Stuxnet(malware); Uroburos(malware)
T1014,Rootkit,Retail/Consumer,2,APT41(intrusion-set); Rocke(intrusion-set)
T1014,Rootkit,Technology/IT,1,APT41(intrusion-set)
T1014,Rootkit,Telecom,1,APT41(intrusion-set)
T1014,Rootkit,Transportation/Logistics,6,APT41(intrusion-set); APT28(intrusion-set); Winnti Group(intrusion-set); Stuxnet(malware); Winnti for Linux(malware)
T1016,System Network Configuration Discovery,Education,11,ShadowRay(campaign); Kimsuky(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set); HAFNIUM(intrusion-set)
T1016,System Network Configuration Discovery,Energy/Utilities,24,KV Botnet Activity(campaign); Operation Wocao(campaign); menuPass(intrusion-set); MuddyWater(intrusion-set); Moses Staff(intrusion-set)
T1016,System Network Configuration Discovery,Finance,32,Operation Wocao(campaign); GALLIUM(intrusion-set); admin@338(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set)
T1016,System Network Configuration Discovery,Government/Public,63,FunnyDream(campaign); Operation Wocao(campaign); C0017(campaign); SideCopy(intrusion-set); GALLIUM(intrusion-set)
T1016,System Network Configuration Discovery,Healthcare,15,ShadowRay(campaign); APT41(intrusion-set); menuPass(intrusion-set); Tropic Trooper(intrusion-set); Turla(intrusion-set)
T1016,System Network Configuration Discovery,Manufacturing/Industrial,24,Operation CuckooBees(campaign); Kimsuky(intrusion-set); Dragonfly(intrusion-set); menuPass(intrusion-set); Moses Staff(intrusion-set)
T1016,System Network Configuration Discovery,Retail/Consumer,27,C0018(campaign); ShadowRay(campaign); FunnyDream(campaign); Operation Wocao(campaign); Volt Typhoon(intrusion-set)
T1016,System Network Configuration Discovery,Technology/IT,9,Operation CuckooBees(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set); Threat Group-3390(intrusion-set)
T1016,System Network Configuration Discovery,Telecom,16,KV Botnet Activity(campaign); ShadowRay(campaign); GALLIUM(intrusion-set); APT41(intrusion-set); MuddyWater(intrusion-set)
T1016,System Network Configuration Discovery,Transportation/Logistics,23,Operation Wocao(campaign); Kimsuky(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set); Tropic Trooper(intrusion-set)
T1016.001,Internet Connection Discovery,Education,3,HAFNIUM(intrusion-set); Turla(intrusion-set); APT29(intrusion-set)
T1016.001,Internet Connection Discovery,Energy/Utilities,3,Operation Wocao(campaign); HEXANE(intrusion-set); Rising Sun(malware)
T1016.001,Internet Connection Discovery,Finance,5,Operation Wocao(campaign); FIN8(intrusion-set); FIN13(intrusion-set); Rising Sun(malware); QakBot(malware)
T1016.001,Internet Connection Discovery,Government/Public,10,SolarWinds Compromise(campaign); Operation Wocao(campaign); HAFNIUM(intrusion-set); Gamaredon Group(intrusion-set); TA2541(intrusion-set)
T1016.001,Internet Connection Discovery,Healthcare,3,Turla(intrusion-set); FIN8(intrusion-set); FIN13(intrusion-set)
T1016.001,Internet Connection Discovery,Manufacturing/Industrial,4,SolarWinds Compromise(campaign); TA2541(intrusion-set); APT29(intrusion-set); NKAbuse(malware)
T1016.001,Internet Connection Discovery,Retail/Consumer,6,Operation Wocao(campaign); Volt Typhoon(intrusion-set); APT29(intrusion-set); FIN8(intrusion-set); FIN13(intrusion-set)
T1016.001,Internet Connection Discovery,Technology/IT,4,SolarWinds Compromise(campaign); Volt Typhoon(intrusion-set); FIN8(intrusion-set); NKAbuse(malware)
T1016.001,Internet Connection Discovery,Telecom,2,SolarWinds Compromise(campaign); HEXANE(intrusion-set)
T1016.001,Internet Connection Discovery,Transportation/Logistics,4,SolarWinds Compromise(campaign); Operation Wocao(campaign); TA2541(intrusion-set); APT29(intrusion-set)
T1016.002,Wi-Fi Discovery,Finance,1,Emotet(malware)
T1016.002,Wi-Fi Discovery,Government/Public,1,Magic Hound(intrusion-set)
T1018,Remote System Discovery,Education,6,APT41(intrusion-set); menuPass(intrusion-set); HAFNIUM(intrusion-set); Turla(intrusion-set); Earth Lusca(intrusion-set)
T1018,Remote System Discovery,Energy/Utilities,16,2015 Ukraine Electric Power Attack(campaign); 2016 Ukraine Electric Power Attack(campaign); Operation Wocao(campaign); menuPass(intrusion-set); Sandworm Team(intrusion-set)
T1018,Remote System Discovery,Finance,19,Operation Wocao(campaign); Indrik Spider(intrusion-set); GALLIUM(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set)
T1018,Remote System Discovery,Government/Public,33,SolarWinds Compromise(campaign); FunnyDream(campaign); Operation Wocao(campaign); GALLIUM(intrusion-set); APT3(intrusion-set)
T1018,Remote System Discovery,Healthcare,14,APT41(intrusion-set); menuPass(intrusion-set); FIN6(intrusion-set); Scattered Spider(intrusion-set); APT39(intrusion-set)
T1018,Remote System Discovery,Manufacturing/Industrial,12,SolarWinds Compromise(campaign); Operation CuckooBees(campaign); Dragonfly(intrusion-set); menuPass(intrusion-set); Scattered Spider(intrusion-set)
T1018,Remote System Discovery,Retail/Consumer,18,FunnyDream(campaign); Operation Wocao(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set); FIN6(intrusion-set)
T1018,Remote System Discovery,Technology/IT,12,SolarWinds Compromise(campaign); Operation CuckooBees(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set)
T1018,Remote System Discovery,Telecom,11,SolarWinds Compromise(campaign); GALLIUM(intrusion-set); APT41(intrusion-set); Scattered Spider(intrusion-set); APT39(intrusion-set)
T1018,Remote System Discovery,Transportation/Logistics,10,SolarWinds Compromise(campaign); Operation Wocao(campaign); APT41(intrusion-set); menuPass(intrusion-set); Chimera(intrusion-set)
T1020,Automated Exfiltration,Energy/Utilities,2,Ke3chang(intrusion-set); Solar(malware)
T1020,Automated Exfiltration,Finance,2,RedCurl(intrusion-set); Ebury(malware)
T1020,Automated Exfiltration,Government/Public,8,ArcaneDoor(campaign); Gamaredon Group(intrusion-set); Sidewinder(intrusion-set); Tropic Trooper(intrusion-set); Ke3chang(intrusion-set)
T1020,Automated Exfiltration,Healthcare,1,Tropic Trooper(intrusion-set)
T1020,Automated Exfiltration,Retail/Consumer,2,Rover(malware); Empire(tool)
T1020,Automated Exfiltration,Transportation/Logistics,4,Tropic Trooper(intrusion-set); TINYTYPHON(malware); ShimRatReporter(tool); Empire(tool)
T1021,Remote Services,Finance,1,Wizard Spider(intrusion-set)
T1021,Remote Services,Government/Public,2,Aquatic Panda(intrusion-set); Ember Bear(intrusion-set)
T1021,Remote Services,Healthcare,1,Wizard Spider(intrusion-set)
T1021,Remote Services,Manufacturing/Industrial,2,Aquatic Panda(intrusion-set); Stuxnet(malware)
T1021,Remote Services,Retail/Consumer,1,Wizard Spider(intrusion-set)
T1021,Remote Services,Technology/IT,1,Aquatic Panda(intrusion-set)
T1021,Remote Services,Telecom,2,Aquatic Panda(intrusion-set); Ember Bear(intrusion-set)
T1021,Remote Services,Transportation/Logistics,1,Stuxnet(malware)
T1021.001,Remote Desktop Protocol,Education,4,Kimsuky(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set); INC Ransom(intrusion-set)
T1021.001,Remote Desktop Protocol,Energy/Utilities,5,menuPass(intrusion-set); FIN7(intrusion-set); OilRig(intrusion-set); Fox Kitten(intrusion-set); HEXANE(intrusion-set)
T1021.001,Remote Desktop Protocol,Finance,14,Cutting Edge(campaign); Indrik Spider(intrusion-set); APT41(intrusion-set); menuPass(intrusion-set); FIN6(intrusion-set)
T1021.001,Remote Desktop Protocol,Government/Public,19,Cutting Edge(campaign); HomeLand Justice(campaign); SolarWinds Compromise(campaign); APT3(intrusion-set); Kimsuky(intrusion-set)
T1021.001,Remote Desktop Protocol,Healthcare,12,APT41(intrusion-set); menuPass(intrusion-set); FIN6(intrusion-set); FIN7(intrusion-set); APT39(intrusion-set)
T1021.001,Remote Desktop Protocol,Manufacturing/Industrial,12,Cutting Edge(campaign); SolarWinds Compromise(campaign); Kimsuky(intrusion-set); Dragonfly(intrusion-set); menuPass(intrusion-set)
T1021.001,Remote Desktop Protocol,Retail/Consumer,12,C0018(campaign); HomeLand Justice(campaign); Volt Typhoon(intrusion-set); APT41(intrusion-set); FIN6(intrusion-set)
