No,Technique_ID,Freq_Group,Freq_Campaign,Freq_Software,Freq_Total,Freq_BinScore,No_Mitigation_Flag,No_PCD_Flag,Applicable,Freq_Group_Pct,Freq_Campaign_Pct,Freq_Software_Pct,Freq_Total_Pct,Unnamed: 14,TID_root,Tactic_ID,Ito_Threat_Category,Step,Freq_Total_Pct_BIN5,Pi_freq,Detection_DataSources_Count,Detection_DataSources_List
24,T1056.001,26,3,117,146,5,1,0,1,0.643,0.333,1.158,0.97,,T1056,"collection, credential-access",Secondary Action,S2,5,0.9,3,Driver: Driver Load; Process: OS API Execution; Windows Registry: Windows Registry Key Modification
25,T1566.001,77,9,54,140,5,0,1,0,1.903,0.998,0.535,0.93,,T1566,initial-access,Initial Access,S1,5,0.9,4,Network Traffic: Network Traffic Content; Network Traffic: Network Traffic Flow; Application Log: Application Log Content; File: File Creation
26,T1047,38,10,86,134,5,0,1,0,0.939,1.109,0.851,0.89,,T1047,execution,Secondary Intrusion,S3,5,0.9,4,Network Traffic: Network Connection Creation; Process: Process Creation; WMI: WMI Creation; Command: Command Execution
27,T1543.003,25,4,102,131,5,0,0,1,0.618,0.443,1.01,0.87,,T1543,"persistence, privilege-escalation",Secondary Action,S2,5,0.9,10,Windows Registry: Windows Registry Key Modification; Process: Process Creation; Network Traffic: Network Traffic Flow; Service: Service Creation; Command: Command Execution; File: File Metadata; Windows Registry: Windows Registry Key Creation; Driver: Driver Load; Service: Service Modification; Process: OS API Execution
28,T1518.001,24,3,100,127,5,1,0,1,0.593,0.333,0.99,0.844,,T1518,discovery,Secondary Action,S2,5,0.9,5,Process: Process Creation; Firewall: Firewall Metadata; Command: Command Execution; Process: OS API Execution; Firewall: Firewall Enumeration
29,T1059.005,44,15,67,126,5,0,1,0,1.087,1.663,0.663,0.837,,T1059,execution,Secondary Intrusion,S3,5,0.9,4,Module: Module Load; Command: Command Execution; Process: Process Creation; Script: Script Execution
30,T1132.001,11,1,107,119,5,0,1,0,0.272,0.111,1.059,0.791,,T1132,command-and-control,Secondary Intrusion,S3,5,0.9,1,Network Traffic: Network Traffic Content
31,T1074.001,26,10,82,118,5,1,0,1,0.643,1.109,0.812,0.784,,T1074,collection,Secondary Action,S2,5,0.9,4,File: File Creation; Windows Registry: Windows Registry Key Modification; File: File Access; Command: Command Execution
32,T1012,18,1,95,114,5,1,0,1,0.445,0.111,0.941,0.758,,T1012,discovery,Secondary Action,S2,5,0.9,4,Process: OS API Execution; Windows Registry: Windows Registry Key Access; Command: Command Execution; Process: Process Creation
33,T1218.011,24,8,69,101,5,0,1,0,0.593,0.887,0.683,0.671,,T1218,defense-evasion,Secondary Action,S2,5,0.9,4,Process: Process Creation; Command: Command Execution; File: File Metadata; Module: Module Load
34,T1562.001,26,7,67,100,5,0,1,0,0.643,0.776,0.663,0.664,,T1562,defense-evasion,Secondary Action,S2,5,0.9,8,Sensor Health: Host Status; Process: Process Termination; Process: Process Creation; Service: Service Metadata; Windows Registry: Windows Registry Key Modification; Command: Command Execution; Windows Registry: Windows Registry Key Deletion; Driver: Driver Load
35,T1027.002,21,6,71,98,5,0,1,0,0.519,0.665,0.703,0.651,,T1027,defense-evasion,Secondary Action,S2,5,0.9,1,File: File Metadata
36,T1049,32,3,61,96,5,1,0,1,0.791,0.333,0.604,0.638,,T1049,discovery,Secondary Action,S2,5,0.9,3,Process: OS API Execution; Process: Process Creation; Command: Command Execution
37,T1095,9,7,80,96,5,0,1,0,0.222,0.776,0.792,0.638,,T1095,command-and-control,Secondary Intrusion,S3,5,0.9,2,Network Traffic: Network Traffic Content; Network Traffic: Network Traffic Flow
38,T1588.002,75,21,0,96,5,0,1,0,1.854,2.328,0,0.638,,T1588,resource-development,Preparation,S0,5,0.9,1,Malware Repository: Malware Metadata
39,T1018,37,8,50,95,5,1,0,1,0.914,0.887,0.495,0.631,,T1018,discovery,Secondary Action,S2,5,0.9,4,Command: Command Execution; File: File Access; Network Traffic: Network Connection Creation; Process: Process Creation
40,T1574.001,32,3,57,92,5,0,0,1,0.791,0.333,0.564,0.611,,T1574,"defense-evasion, persistence, privilege-escalation",Secondary Intrusion,S3,5,0.9,4,File: File Modification; Process: Process Creation; Module: Module Load; File: File Creation
41,T1573.002,10,5,71,86,5,0,1,0,0.247,0.554,0.703,0.571,,T1573,command-and-control,Secondary Intrusion,S3,5,0.9,1,Network Traffic: Network Traffic Content
42,T1036.004,20,7,58,85,5,1,1,0,0.494,0.776,0.574,0.565,,T1036,defense-evasion,Secondary Action,S2,5,0.9,5,Scheduled Job: Scheduled Job Modification; Service: Service Creation; Command: Command Execution; Service: Service Metadata; Scheduled Job: Scheduled Job Metadata
43,T1124,11,3,71,85,5,1,0,1,0.272,0.333,0.703,0.565,,T1124,discovery,Secondary Action,S2,5,0.9,3,Process: OS API Execution; Command: Command Execution; Process: Process Creation
44,T1555.003,23,2,59,84,5,0,1,0,0.568,0.222,0.584,0.558,,T1555,credential-access,Secondary Intrusion,S3,5,0.9,4,Command: Command Execution; Process: Process Access; File: File Access; Process: OS API Execution
45,T1204.001,46,8,27,81,5,0,1,0,1.137,0.887,0.267,0.538,,T1204,execution,Secondary Intrusion,S3,5,0.9,3,File: File Creation; Network Traffic: Network Traffic Content; Network Traffic: Network Connection Creation
46,T1055,14,5,60,79,5,0,1,0,0.346,0.554,0.594,0.525,,T1055,"defense-evasion, privilege-escalation",Secondary Action,S2,5,0.9,7,Process: Process Access; Process: Process Modification; File: File Modification; Process: Process Metadata; File: File Metadata; Process: OS API Execution; Module: Module Load
47,T1566.002,43,8,27,78,5,0,1,0,1.063,0.887,0.267,0.518,,T1566,initial-access,Initial Access,S1,5,0.9,3,Network Traffic: Network Traffic Flow; Application Log: Application Log Content; Network Traffic: Network Traffic Content
48,T1486,14,3,58,75,5,0,1,0,0.346,0.333,0.574,0.498,,T1486,impact,Final Impact,S4,5,0.9,6,File: File Modification; Cloud Storage: Cloud Storage Modification; Network Share: Network Share Access; File: File Creation; Command: Command Execution; Process: Process Creation
49,T1553.002,24,6,44,74,5,1,1,0,0.593,0.665,0.436,0.492,,T1553,defense-evasion,Secondary Action,S2,5,0.9,1,File: File Metadata
50,T1135,15,4,54,73,5,0,0,1,0.371,0.443,0.535,0.485,,T1135,discovery,Secondary Action,S2,5,0.9,3,Process: OS API Execution; Command: Command Execution; Process: Process Creation
51,T1560.001,36,10,27,73,5,0,0,1,0.89,1.109,0.267,0.485,,T1560,collection,Secondary Action,S2,5,0.9,3,Process: Process Creation; Command: Command Execution; File: File Creation
52,T1003.001,39,6,25,70,5,0,1,0,0.964,0.665,0.248,0.465,,T1003,credential-access,Secondary Intrusion,S3,5,0.9,7,Process: Process Access; Windows Registry: Windows Registry Key Modification; Process: Process Creation; Process: OS API Execution; Logon Session: Logon Session Creation; Command: Command Execution; File: File Creation
53,T1046,29,5,35,69,5,0,0,1,0.717,0.554,0.347,0.459,,T1046,discovery,Secondary Action,S2,5,0.9,3,Network Traffic: Network Traffic Flow; Command: Command Execution; Cloud Service: Cloud Service Enumeration
54,T1119,20,4,44,68,5,0,0,1,0.494,0.443,0.436,0.452,,T1119,collection,Secondary Action,S2,5,0.9,4,User Account: User Account Authentication; Command: Command Execution; File: File Access; Script: Script Execution
55,T1569.002,14,3,50,67,5,0,1,0,0.346,0.333,0.495,0.445,,T1569,execution,Secondary Intrusion,S3,5,0.9,5,Windows Registry: Windows Registry Key Modification; Network Traffic: Network Traffic Flow; Service: Service Creation; Process: Process Creation; Command: Command Execution
56,T1090,14,6,45,65,5,0,1,0,0.346,0.665,0.446,0.432,,T1090,command-and-control,Secondary Intrusion,S3,5,0.9,3,Network Traffic: Network Traffic Flow; Network Traffic: Network Traffic Content; Network Traffic: Network Connection Creation
57,T1497.001,4,2,59,65,5,1,0,1,0.099,0.222,0.584,0.432,,T1497,"defense-evasion, discovery",Secondary Action,S2,5,0.9,3,Process: Process Creation; Command: Command Execution; Process: OS API Execution
58,T1007,14,2,47,63,5,1,0,1,0.346,0.222,0.465,0.419,,T1007,discovery,Secondary Action,S2,5,0.9,3,Command: Command Execution; Process: Process Creation; Process: OS API Execution
59,T1021.002,26,8,29,63,5,0,1,0,0.643,0.887,0.287,0.419,,T1021,lateral-movement,Secondary Action,S2,5,0.9,6,Network Share: Network Share Access; Network Traffic: Network Traffic Flow; Logon Session: Logon Session Creation; Network Traffic: Network Connection Creation; Process: Process Creation; Command: Command Execution
60,T1055.001,9,1,53,63,5,0,1,0,0.222,0.111,0.525,0.419,,T1055,"defense-evasion, privilege-escalation",Secondary Action,S2,5,0.9,5,Process: Process Metadata; Process: Process Access; Process: Process Modification; Module: Module Load; Process: OS API Execution
61,T1190,39,17,7,63,5,0,1,0,0.964,1.885,0.069,0.419,,T1190,initial-access,Initial Access,S1,5,0.9,2,Network Traffic: Network Traffic Content; Application Log: Application Log Content
62,T1027.010,25,5,29,59,5,0,1,0,0.618,0.554,0.287,0.392,,T1027,defense-evasion,Secondary Action,S2,5,0.9,3,File: File Metadata; Script: Script Execution; Command: Command Execution
63,T1087.001,17,1,41,59,5,0,0,1,0.42,0.111,0.406,0.392,,T1087,discovery,Secondary Action,S2,5,0.9,5,Process: OS API Execution; Group: Group Enumeration; Process: Process Creation; Command: Command Execution; File: File Access
64,T1505.003,29,11,19,59,5,0,0,1,0.717,1.22,0.188,0.392,,T1505,persistence,Secondary Action,S2,5,0.9,6,Application Log: Application Log Content; Process: Process Creation; File: File Creation; Network Traffic: Network Traffic Content; Network Traffic: Network Traffic Flow; File: File Modification
65,T1548.002,10,1,48,59,5,0,1,0,0.247,0.111,0.475,0.392,,T1548,"defense-evasion, privilege-escalation",Secondary Action,S2,5,0.9,4,Windows Registry: Windows Registry Key Modification; Command: Command Execution; Process: Process Creation; Process: Process Metadata
66,T1021.001,33,7,17,57,5,0,1,0,0.816,0.776,0.168,0.379,,T1021,lateral-movement,Secondary Action,S2,5,0.9,5,Network Traffic: Network Traffic Flow; Logon Session: Logon Session Creation; Network Traffic: Network Connection Creation; Process: Process Creation; Logon Session: Logon Session Metadata
67,T1059.007,23,5,29,57,5,0,1,0,0.568,0.554,0.287,0.379,,T1059,execution,Secondary Intrusion,S3,5,0.9,4,Module: Module Load; Process: Process Creation; Script: Script Execution; Command: Command Execution
68,T1203,40,3,14,57,5,0,1,0,0.989,0.333,0.139,0.379,,T1203,execution,Secondary Intrusion,S3,5,0.9,4,Process: Process Creation; File: File Modification; Application Log: Application Log Content; Network Traffic: Network Traffic Flow
69,T1036,19,6,30,55,5,0,1,0,0.47,0.665,0.297,0.365,,T1036,defense-evasion,Secondary Action,S2,5,0.9,12,File: File Modification; Process: Process Metadata; Service: Service Creation; Service: Service Metadata; Process: Process Creation; Image: Image Metadata; Scheduled Job: Scheduled Job Metadata; User Account: User Account Creation; File: File Metadata; Scheduled Job: Scheduled Job Modification; Command: Command Execution; Process: OS API Execution
70,T1078,41,8,6,55,5,0,0,1,1.013,0.887,0.059,0.365,,T1078,"defense-evasion, initial-access, persistence, privilege-escalation",Initial Access,S1,5,0.9,3,Logon Session: Logon Session Creation; User Account: User Account Authentication; Logon Session: Logon Session Metadata
71,T1120,9,2,44,55,5,1,0,1,0.222,0.222,0.436,0.365,,T1120,discovery,Secondary Action,S2,5,0.9,3,Process: OS API Execution; Process: Process Creation; Command: Command Execution
72,T1583.001,38,14,3,55,5,0,1,0,0.939,1.552,0.03,0.365,,T1583,resource-development,Preparation,S0,5,0.9,3,Domain Name: Passive DNS; Domain Name: Domain Registration; Domain Name: Active DNS
73,T1560,13,0,41,54,5,0,0,1,0.321,0,0.406,0.359,,T1560,collection,Secondary Action,S2,5,0.9,4,Command: Command Execution; Script: Script Execution; Process: Process Creation; File: File Creation
74,T1564.001,11,1,42,54,5,1,1,0,0.272,0.111,0.416,0.359,,T1564,defense-evasion,Secondary Action,S2,5,0.9,4,Process: Process Creation; File: File Creation; File: File Metadata; Command: Command Execution
75,T1070.006,9,3,41,53,5,1,1,0,0.222,0.333,0.406,0.352,,T1070,defense-evasion,Secondary Action,S2,5,0.9,4,Process: OS API Execution; File: File Modification; File: File Metadata; Command: Command Execution
76,T1071.004,11,1,41,53,5,0,1,0,0.272,0.111,0.406,0.352,,T1071,command-and-control,Secondary Intrusion,S3,5,0.9,2,Network Traffic: Network Traffic Content; Network Traffic: Network Traffic Flow
77,T1087.002,24,4,25,53,5,0,0,1,0.593,0.443,0.248,0.352,,T1087,discovery,Secondary Action,S2,5,0.9,5,Process: Process Creation; Command: Command Execution; Process: OS API Execution; Network Traffic: Network Traffic Content; Group: Group Enumeration
78,T1008,4,1,47,52,5,0,1,0,0.099,0.111,0.465,0.346,,T1008,command-and-control,Secondary Intrusion,S3,5,0.9,2,Network Traffic: Network Traffic Flow; Network Traffic: Network Connection Creation
79,T1102.002,15,1,36,52,5,0,1,0,0.371,0.111,0.356,0.346,,T1102,command-and-control,Secondary Intrusion,S3,5,0.9,3,Network Traffic: Network Traffic Content; Network Traffic: Network Connection Creation; Network Traffic: Network Traffic Flow
80,T1571,14,5,33,52,5,0,1,0,0.346,0.554,0.327,0.346,,T1571,command-and-control,Secondary Intrusion,S3,5,0.9,2,Network Traffic: Network Traffic Flow; Network Traffic: Network Traffic Content
81,T1059.004,7,3,41,51,5,0,1,0,0.173,0.333,0.406,0.339,,T1059,execution,Secondary Intrusion,S3,5,0.9,2,Process: Process Creation; Command: Command Execution
82,T1490,3,0,45,48,5,0,1,0,0.074,0,0.446,0.319,,T1490,impact,Final Impact,S4,5,0.9,7,Process: Process Creation; Windows Registry: Windows Registry Key Modification; Cloud Storage: Cloud Storage Deletion; Command: Command Execution; Service: Service Metadata; Snapshot: Snapshot Deletion; File: File Deletion
83,T1518,12,3,33,48,5,1,0,1,0.297,0.333,0.327,0.319,,T1518,discovery,Secondary Action,S2,5,0.9,5,Process: OS API Execution; Command: Command Execution; Process: Process Creation; Firewall: Firewall Enumeration; Firewall: Firewall Metadata
84,T1059.006,15,3,29,47,5,0,1,0,0.371,0.333,0.287,0.312,,T1059,execution,Secondary Intrusion,S3,5,0.9,2,Process: Process Creation; Command: Command Execution
85,T1564.003,14,0,33,47,5,0,1,0,0.346,0,0.327,0.312,,T1564,defense-evasion,Secondary Action,S2,5,0.9,5,File: File Modification; Command: Command Execution; Process: Process Creation; Windows Registry: Windows Registry Key Modification; Script: Script Execution
86,T1570,17,7,22,46,5,0,1,0,0.42,0.776,0.218,0.306,,T1570,lateral-movement,Secondary Action,S2,5,0.9,8,Named Pipe: Named Pipe Metadata; Network Share: Network Share Access; Network Traffic: Network Traffic Flow; Command: Command Execution; Process: Process Creation; File: File Creation; Network Traffic: Network Traffic Content; File: File Metadata
87,T1497.003,0,1,44,45,5,1,0,1,0,0.111,0.436,0.299,,T1497,"defense-evasion, discovery",Secondary Action,S2,5,0.9,3,Process: OS API Execution; Process: Process Creation; Command: Command Execution
88,T1489,5,0,39,44,5,0,1,0,0.124,0,0.386,0.292,,T1489,impact,Final Impact,S4,5,0.9,7,Process: Process Creation; Process: Process Termination; Windows Registry: Windows Registry Key Modification; Command: Command Execution; File: File Modification; Process: OS API Execution; Service: Service Metadata
89,T1102,14,4,25,43,5,0,1,0,0.346,0.443,0.248,0.286,,T1102,command-and-control,Secondary Intrusion,S3,5,0.9,3,Network Traffic: Network Traffic Flow; Network Traffic: Network Traffic Content; Network Traffic: Network Connection Creation
90,T1189,31,2,10,43,5,0,1,0,0.766,0.222,0.099,0.286,,T1189,initial-access,Initial Access,S1,5,0.9,5,Application Log: Application Log Content; Network Traffic: Network Traffic Content; Process: Process Creation; File: File Creation; Network Traffic: Network Connection Creation
91,T1115,3,1,38,42,5,1,0,1,0.074,0.111,0.376,0.279,,T1115,collection,Secondary Action,S2,5,0.9,2,Process: OS API Execution; Command: Command Execution
92,T1059,16,4,21,41,5,0,1,0,0.395,0.443,0.208,0.272,,T1059,execution,Secondary Intrusion,S3,5,0.9,5,Script: Script Execution; Process: Process Creation; Process: Process Metadata; Module: Module Load; Command: Command Execution
93,T1068,21,2,18,41,5,0,1,0,0.519,0.222,0.178,0.272,,T1068,privilege-escalation,Secondary Intrusion,S3,5,0.9,2,Driver: Driver Load; Process: Process Creation
94,T1562.004,14,4,23,41,5,0,1,0,0.346,0.443,0.228,0.272,,T1562,defense-evasion,Secondary Action,S2,5,0.9,4,Firewall: Firewall Rule Modification; Windows Registry: Windows Registry Key Modification; Command: Command Execution; Firewall: Firewall Disable
95,T1133,26,9,5,40,5,0,0,1,0.643,0.998,0.05,0.266,,T1133,"initial-access, persistence",Initial Access,S1,5,0.9,5,Network Traffic: Network Connection Creation; Network Traffic: Network Traffic Flow; Logon Session: Logon Session Metadata; Application Log: Application Log Content; Network Traffic: Network Traffic Content
96,T1055.012,7,0,32,39,5,0,1,0,0.173,0,0.317,0.259,,T1055,"defense-evasion, privilege-escalation",Secondary Action,S2,5,0.9,4,Process: Process Creation; Process: Process Modification; Process: OS API Execution; Process: Process Access
97,T1070.001,13,1,25,39,5,0,1,0,0.321,0.111,0.248,0.259,,T1070,defense-evasion,Secondary Action,S2,5,0.9,4,Command: Command Execution; File: File Deletion; Process: OS API Execution; Process: Process Creation
98,T1560.003,6,1,31,38,5,1,0,1,0.148,0.111,0.307,0.253,,T1560,collection,Secondary Action,S2,5,0.9,2,File: File Creation; Script: Script Execution
99,T1567.002,20,3,14,37,5,0,1,0,0.494,0.333,0.139,0.246,,T1567,exfiltration,Final Impact,S4,5,0.9,5,Network Traffic: Network Traffic Content; Network Traffic: Network Connection Creation; Network Traffic: Network Traffic Flow; File: File Access; Command: Command Execution
100,T1555,12,1,22,35,5,0,1,0,0.297,0.111,0.218,0.233,,T1555,credential-access,Secondary Intrusion,S3,5,0.9,6,File: File Access; Command: Command Execution; Process: Process Access; Cloud Service: Cloud Service Enumeration; Process: Process Creation; Process: OS API Execution
101,T1125,3,0,31,34,5,1,0,1,0.074,0,0.307,0.226,,T1125,collection,Secondary Action,S2,5,0.9,2,Process: OS API Execution; Command: Command Execution
102,T1218.010,10,2,22,34,5,0,1,0,0.247,0.222,0.218,0.226,,T1218,defense-evasion,Secondary Action,S2,5,0.9,4,Module: Module Load; Command: Command Execution; Network Traffic: Network Connection Creation; Process: Process Creation
103,T1572,11,5,18,34,5,0,1,0,0.272,0.554,0.178,0.226,,T1572,command-and-control,Secondary Intrusion,S3,5,0.9,3,Network Traffic: Network Traffic Flow; Network Traffic: Network Traffic Content; Network Traffic: Network Connection Creation
104,T1003.002,13,5,15,33,5,0,1,0,0.321,0.554,0.149,0.219,,T1003,credential-access,Secondary Intrusion,S3,5,0.9,4,Command: Command Execution; File: File Access; Windows Registry: Windows Registry Key Access; File: File Creation
105,T1010,3,0,30,33,5,1,0,1,0.074,0,0.297,0.219,,T1010,discovery,Secondary Action,S2,5,0.9,3,Process: Process Creation; Command: Command Execution; Process: OS API Execution
106,T1069.002,10,2,21,33,5,1,0,1,0.247,0.222,0.208,0.219,,T1069,discovery,Secondary Action,S2,5,0.9,4,Group: Group Enumeration; Command: Command Execution; Process: OS API Execution; Process: Process Creation
107,T1090.003,9,4,20,33,5,0,1,0,0.222,0.443,0.198,0.219,,T1090,command-and-control,Secondary Intrusion,S3,5,0.9,3,Network Traffic: Network Traffic Flow; Network Traffic: Network Traffic Content; Network Traffic: Network Connection Creation
108,T1480,2,1,30,33,5,0,1,0,0.049,0.111,0.297,0.219,,T1480,defense-evasion,Secondary Action,S2,5,0.9,2,Process: Process Creation; Command: Command Execution
109,T1552.001,14,1,18,33,5,0,1,0,0.346,0.111,0.178,0.219,,T1552,credential-access,Secondary Intrusion,S3,5,0.9,3,Command: Command Execution; Process: Process Creation; File: File Access
110,T1614.001,3,1,29,33,5,1,0,1,0.074,0.111,0.287,0.219,,T1614,discovery,Secondary Action,S2,5,0.9,4,Process: Process Creation; Process: OS API Execution; Windows Registry: Windows Registry Key Access; Command: Command Execution
111,T1608.001,24,8,0,32,5,0,1,0,0.593,0.887,0,0.213,,T1608,resource-development,Preparation,S0,5,0.9,1,Internet Scan: Response Content
112,T1069.001,7,3,21,31,5,1,0,1,0.173,0.333,0.208,0.206,,T1069,discovery,Secondary Action,S2,5,0.9,4,Process: OS API Execution; Process: Process Creation; Group: Group Enumeration; Command: Command Execution
113,T1078.002,18,8,5,31,5,0,0,1,0.445,0.887,0.05,0.206,,T1078,"defense-evasion, initial-access, persistence, privilege-escalation",Initial Access,S1,5,0.9,3,User Account: User Account Authentication; Logon Session: Logon Session Creation; Logon Session: Logon Session Metadata
114,T1090.001,9,3,19,31,5,0,1,0,0.222,0.333,0.188,0.206,,T1090,command-and-control,Secondary Intrusion,S3,5,0.9,3,Network Traffic: Network Traffic Flow; Network Traffic: Network Traffic Content; Network Traffic: Network Connection Creation
115,T1123,1,0,30,31,5,1,0,1,0.025,0,0.297,0.206,,T1123,collection,Secondary Action,S2,5,0.9,2,Process: OS API Execution; Command: Command Execution
116,T1587.001,19,12,0,31,5,0,1,0,0.47,1.33,0,0.206,,T1587,resource-development,Preparation,S0,5,0.9,2,Malware Repository: Malware Content; Malware Repository: Malware Metadata
117,T1027.011,2,1,27,30,5,0,1,0,0.049,0.111,0.267,0.199,,T1027,defense-evasion,Secondary Action,S2,5,0.9,3,Windows Registry: Windows Registry Key Creation; WMI: WMI Creation; Process: Process Creation
118,T1048.003,9,1,20,30,5,0,1,0,0.222,0.111,0.198,0.199,,T1048,exfiltration,Final Impact,S4,5,0.9,5,Network Traffic: Network Traffic Flow; File: File Access; Network Traffic: Network Traffic Content; Command: Command Execution; Network Traffic: Network Connection Creation
119,T1070,3,2,25,30,5,0,1,0,0.074,0.222,0.248,0.199,,T1070,defense-evasion,Secondary Action,S2,5,0.9,14,Scheduled Job: Scheduled Job Modification; File: File Modification; Firewall: Firewall Rule Modification; User Account: User Account Authentication; File: File Metadata; User Account: User Account Deletion; Process: OS API Execution; Application Log: Application Log Content; Command: Command Execution; File: File Deletion; Process: Process Creation; Windows Registry: Windows Registry Key Modification; Network Traffic: Network Traffic Content; Windows Registry: Windows Registry Key Deletion
