Scenario_ID,AttackTree_ID,AttackTree_Key,Step,Step_num,Technique_ID,Technique_Name,Asset,Pi,Mi_Current,Ci,Qi_Current,Qhat_i_Current,Ri_Current,Mi_Full,Qhat_i_Full,Ri_Full,Mi_Worst,Qhat_i_Worst,Ri_Worst,Rtree_Current,Rtree_Full,Rtree_Worst,Log_Ratio,Risk_Class,Risk_B_Flag,High_Mi_Flag,High_Qhat_Flag,Formula_Check
B,8,B-008,S3,3,T1484.002,Trust Modification,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,8,B-008,S4,4,T1496.004,Cloud Service Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,9,B-009,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,9,B-009,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,9,B-009,S3,3,T1555.006,Cloud Secrets Management Stores,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,9,B-009,S4,4,T1486,Data Encrypted for Impact,Business Server OnCloud,0.900000,0.100000,2.000000,0.090000,0.180000,0.000326,0.100000,0.180000,0.000071,0.900000,1.000000,0.236196,0.000326,0.000071,0.236196,0.188130,Risk C,0,0,0,0.000000
B,10,B-010,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,10,B-010,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,10,B-010,S3,3,T1555.006,Cloud Secrets Management Stores,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,10,B-010,S4,4,T1496.001,Compute Hijacking,Business Server OnCloud,0.720000,0.280000,2.000000,0.201600,0.403200,0.000730,0.100000,0.144000,0.000057,0.900000,1.000000,0.236196,0.000730,0.000057,0.236196,0.306624,Risk C,0,1,1,0.000000
B,11,B-011,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,11,B-011,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,11,B-011,S3,3,T1555.006,Cloud Secrets Management Stores,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,11,B-011,S4,4,T1496.002,Bandwidth Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,12,B-012,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,12,B-012,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,12,B-012,S3,3,T1555.006,Cloud Secrets Management Stores,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,12,B-012,S4,4,T1496.004,Cloud Service Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,13,B-013,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,13,B-013,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,13,B-013,S3,3,T1651,Cloud Administration Command,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,13,B-013,S4,4,T1486,Data Encrypted for Impact,Business Server OnCloud,0.900000,0.100000,2.000000,0.090000,0.180000,0.000326,0.100000,0.180000,0.000071,0.900000,1.000000,0.236196,0.000326,0.000071,0.236196,0.188130,Risk C,0,0,0,0.000000
B,14,B-014,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,14,B-014,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,14,B-014,S3,3,T1651,Cloud Administration Command,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,14,B-014,S4,4,T1496.001,Compute Hijacking,Business Server OnCloud,0.720000,0.280000,2.000000,0.201600,0.403200,0.000730,0.100000,0.144000,0.000057,0.900000,1.000000,0.236196,0.000730,0.000057,0.236196,0.306624,Risk C,0,1,1,0.000000
B,15,B-015,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,15,B-015,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,15,B-015,S3,3,T1651,Cloud Administration Command,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,15,B-015,S4,4,T1496.002,Bandwidth Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,16,B-016,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,16,B-016,S2,2,T1021.007,Cloud Services,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,16,B-016,S3,3,T1651,Cloud Administration Command,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,16,B-016,S4,4,T1496.004,Cloud Service Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,17,B-017,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,17,B-017,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,17,B-017,S3,3,T1059.009,Cloud API,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,17,B-017,S4,4,T1486,Data Encrypted for Impact,Business Server OnCloud,0.900000,0.100000,2.000000,0.090000,0.180000,0.000326,0.100000,0.180000,0.000071,0.900000,1.000000,0.236196,0.000326,0.000071,0.236196,0.188130,Risk C,0,0,0,0.000000
B,18,B-018,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,18,B-018,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,18,B-018,S3,3,T1059.009,Cloud API,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,18,B-018,S4,4,T1496.001,Compute Hijacking,Business Server OnCloud,0.720000,0.280000,2.000000,0.201600,0.403200,0.000730,0.100000,0.144000,0.000057,0.900000,1.000000,0.236196,0.000730,0.000057,0.236196,0.306624,Risk C,0,1,1,0.000000
B,19,B-019,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,19,B-019,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,19,B-019,S3,3,T1059.009,Cloud API,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,19,B-019,S4,4,T1496.002,Bandwidth Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,20,B-020,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,20,B-020,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,20,B-020,S3,3,T1059.009,Cloud API,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,20,B-020,S4,4,T1496.004,Cloud Service Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,21,B-021,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,21,B-021,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,21,B-021,S3,3,T1484.002,Trust Modification,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,21,B-021,S4,4,T1486,Data Encrypted for Impact,Business Server OnCloud,0.900000,0.100000,2.000000,0.090000,0.180000,0.000326,0.100000,0.180000,0.000071,0.900000,1.000000,0.236196,0.000326,0.000071,0.236196,0.188130,Risk C,0,0,0,0.000000
B,22,B-022,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,22,B-022,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,22,B-022,S3,3,T1484.002,Trust Modification,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,22,B-022,S4,4,T1496.001,Compute Hijacking,Business Server OnCloud,0.720000,0.280000,2.000000,0.201600,0.403200,0.000730,0.100000,0.144000,0.000057,0.900000,1.000000,0.236196,0.000730,0.000057,0.236196,0.306624,Risk C,0,1,1,0.000000
B,23,B-023,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,23,B-023,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,23,B-023,S3,3,T1484.002,Trust Modification,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,23,B-023,S4,4,T1496.002,Bandwidth Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,24,B-024,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,24,B-024,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,24,B-024,S3,3,T1484.002,Trust Modification,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,24,B-024,S4,4,T1496.004,Cloud Service Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,25,B-025,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,25,B-025,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,25,B-025,S3,3,T1555.006,Cloud Secrets Management Stores,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,25,B-025,S4,4,T1486,Data Encrypted for Impact,Business Server OnCloud,0.900000,0.100000,2.000000,0.090000,0.180000,0.000326,0.100000,0.180000,0.000071,0.900000,1.000000,0.236196,0.000326,0.000071,0.236196,0.188130,Risk C,0,0,0,0.000000
B,26,B-026,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,26,B-026,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,26,B-026,S3,3,T1555.006,Cloud Secrets Management Stores,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,26,B-026,S4,4,T1496.001,Compute Hijacking,Business Server OnCloud,0.720000,0.280000,2.000000,0.201600,0.403200,0.000730,0.100000,0.144000,0.000057,0.900000,1.000000,0.236196,0.000730,0.000057,0.236196,0.306624,Risk C,0,1,1,0.000000
B,27,B-027,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,27,B-027,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,27,B-027,S3,3,T1555.006,Cloud Secrets Management Stores,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,27,B-027,S4,4,T1496.002,Bandwidth Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,28,B-028,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,28,B-028,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,28,B-028,S3,3,T1555.006,Cloud Secrets Management Stores,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
B,28,B-028,S4,4,T1496.004,Cloud Service Hijacking,Business Server OnCloud,0.180000,0.280000,2.000000,0.050400,0.100800,0.000183,0.100000,0.036000,0.000014,0.900000,0.324000,0.076528,0.000183,0.000014,0.076528,0.297374,Risk C,0,1,0,0.000000
B,29,B-029,S1,1,T1190,Exploit Public-Facing Application,VDI AuthServer,0.900000,0.460000,1.500000,0.414000,0.621000,0.621000,0.100000,0.135000,0.135000,0.900000,1.000000,1.000000,,,,,,0,1,1,0.000000
B,29,B-029,S2,2,T1484.002,Trust Modification,VDI AuthServer,0.360000,0.100000,1.500000,0.036000,0.054000,0.033534,0.100000,0.054000,0.007290,0.900000,0.486000,0.486000,,,,,,0,0,0,0.000000
B,29,B-029,S3,3,T1651,Cloud Administration Command,VDI Server,0.360000,0.100000,1.500000,0.036000,0.054000,0.001811,0.100000,0.054000,0.000394,0.900000,0.486000,0.236196,,,,,,0,0,0,0.000000
